cluster, mean_err, center
0, 15.579948939919527, 4.5432697
1, 37.018366154623905, 50.97637233
2, 77.996834543988555, 95.18245569
3, 23.611619832866165, 29.40110286
4, 19.576973990804792, 19.74712755
5, 28.593116452266827, 38.88097072
6, 50.832880362142788, 66.72574116
7, 64.298079591788351, 81.05613139
8, 15.867704034867845, 1.63153288
9, 42.444204803786427, 57.50751073
10, 16.472126295557739, 9.06179777
11, 32.073861219735768, 44.3268216
